Aamer Hameed
Aamer Hanif
Aamer Malik
Aamer Yamin
Aamir Kaleem
Aamir Nazir
Aamir Sohail
Aaqib Javed
Aarif Sheikh
Aaron  V R
Ababu  J
Abbas Saad
Abbasi  Z
Abbott  K J
Abbott  S A
Abdul Jabbar
Abdul Kadir
Abdul Qadir
Abdul Rashid
Abdul Razzaq
Abdul Rehman
Abdul Shakoor
Abdul Wahid
Abdulla  Y A
Abdullah Mazari
Abdul-Shakoor Rahimzei
Abdur Rauf
Abdur Razzak
Abdur Rehman
A'Beckett  E L
Abel  R
Abid Ali
Abid Ali  S
Abioye  A S
Aboagye  I K O
Aboagye  M
Abolarin  R A
Abrahams  S
Absolom  C A
Abu Hider
Abu Jayed
Abul Hasan
Achelam  F
Achong  E
Ackerman  H D
Adair  M R
Adams  A R
Adams  C J
Adams  J C
Adams  P R
Adcock  N A T
Adeel Raja
Adewoye  V D
Adhikari  H R
Adil Hanif
Adnan Akmal
Adnan Ilyas
Adnan Mufti
Afaq Hussain
Afif Hossain
Afsar Zazai
Aftab Ahmed
Aftab Alam
Aftab Baloch
Aftab Gul
Afzaal  U
Afzaal Haider
Aga  R G
Agar  A C
Agarkar  A B
Agarwal  M A
Agha Saadat Ali
Agha Zahid
Agius  G J
Agnew  J P
Ahangama  F S
Ahmed  K K
Ahmed  R I
Ahmed Hassan
Ahmed Kamal
Ahmed Raza
Ahmed Shah
Ahmed Shehzad
Ahmed Wardak
Ahsan Malik
Ahuja  K K
Aijaz Ali
Airee  D S
Airee  P S
Aizaz Cheema
Aizaz Khan
Ajmal Shahzad
Akachukwu  C M
Akhtar Sarfraz
Akram Khan
Akram Raza
Al Sahariar Rokon
Alabaster  J C
Alam Talukdar
Alamgir Kabir
Al-Amin Hossain
Alawi Shukri
Alderman  T M
Aldridge  G W
Alexander  F C M
Alexander  G
Alexander  H H
Alexander  R P
Algar  A D
Ali  I
Ali  I
Ali  M M
Ali  R W
Ali Asad
Ali Hussain Rizvi
Ali Khan
Alimuddin
Allan  D I
Allan  D W
Allan  F E
Allan  P J
Allcott  C F W
Allen  D A
Allen  F A
Allen  G O B
Allen  I B A
Allen  R C
Alleyne  M W
Allingham  M J D
Allom  M J C
Allott  G I
Allott  P J W
Alok Kapali
Amalean  K N
Aman Ali
Amar Singh  L
Amarnath  L
Amarnath  M
Amarnath  S
Ambris  S W
Ambrose  C E L
Ambrose  T R
Ameel Mauroof
Amerasinghe  M J G
Amerasinghe  M K D
Ames  L E G
Amini  C J A
Amini  C R
Aminul Islam
Aminul Islam Jnr
Amir Ali
Amir Elahi
Amir Hamza
Amir Hayat
Amir Mangal
Amiss  D L
Amjad Ali
Amjad Gul
Amjad Javed
Amla  H M
Ammad Uddin
Amre  P K
Anamul Haque
Anas Khan
Anasim Khan
Anderson  C J
Anderson  J
Anderson  J H
Anderson  J M
Anderson  R W
Anderson  W M
Andrew  K V
Andrews  B
Andrews  T J E
Anefie  D K
Angara  J O
Angel  J
Anisur Rehman
Ankad  R
Ankola  S A
